Rol,Caracteres_y_especiales,Letras_y_números
Aprendiz,6,6
Aprendiz,5,5
Aprendiz,4,3
Aprendiz,3,6
Aprendiz,1,4
Aprendiz,5,5
Instructor,6,5
Aprendiz,5,5
Aprendiz,2,3
Aprendiz,6,6
Aprendiz,5,5
Aprendiz,2,2
Aprendiz,6,4
Aprendiz,4,4
Aprendiz,5,6
Aprendiz,2,3
Aprendiz,5,5
Aprendiz,3,3
Aprendiz,3,6
Aprendiz,2,3
Aprendiz,4,6
Aprendiz,2,4
Aprendiz,2,4
Aprendiz,2,5
Instructor,3,4
Aprendiz,2,1
Aprendiz,4,6
Instructor,4,4
Administrativo,5,6
Aprendiz,4,6
Instructor,3,3
Aprendiz,2,2
Aprendiz,5,3
Instructor,6,6
Aprendiz,4,6
Instructor,6,6
Administrativo,6,6
Instructor,5,6
Administrativo,6,5
Instructor,5,5
Aprendiz,5,5
Instructor,3,5
Aprendiz,5,4
Aprendiz,4,4
Instructor,5,6
Administrativo,6,6
Administrativo,5,5
Aprendiz,5,5
Aprendiz,5,5
Aprendiz,6,6
Instructor,2,6
Aprendiz,3,5
Aprendiz,3,5
Aprendiz,3,5
Aprendiz,2,3
Aprendiz,3,5
Aprendiz,1,5
Aprendiz,5,5
Aprendiz,5,5
Instructor,5,6
Administrativo,4,4
Instructor,5,6
Administrativo,6,5
Aprendiz,5,4
Instructor,4,4
Administrativo,3,6
Aprendiz,2,5
Instructor,6,6
Administrativo,5,6
Instructor,6,6
Aprendiz,4,5
Aprendiz,6,6
Aprendiz,5,5
Aprendiz,2,5
Instructor,5,5
Administrativo,5,6
Aprendiz,6,6
Aprendiz,1,2
Administrativo,4,4
Instructor,5,5
Administrativo,2,2
Administrativo,6,6
Administrativo,3,4
Instructor,3,4
Administrativo,5,5
Administrativo,4,4
Administrativo,6,6
Instructor,5,6
Administrativo,4,4
Administrativo,6,6
Instructor,5,5
Instructor,6,6
Aprendiz,2,2
Administrativo,5,5
Instructor,5,5
Instructor,5,5
Instructor,5,6
Aprendiz,4,6
Administrativo,5,5
Instructor,4,4
Instructor,6,6
Instructor,5,6
Administrativo,6,6
Instructor,6,6
Instructor,4,4
Instructor,6,6
Instructor,2,4
Administrativo,5,6
Instructor,4,6
Instructor,6,6
Instructor,4,6
Instructor,6,6
Instructor,5,4
Instructor,5,5
Instructor,5,6
Instructor,5,5
Instructor,5,6
Instructor,4,4
Instructor,4,5
Instructor,4,4
Instructor,4,4
Instructor,5,5
Instructor,6,6
Instructor,3,6
Instructor,4,6
Instructor,2,4
Instructor,4,6
Instructor,3,2
Instructor,6,6
Instructor,4,4
Instructor,6,6
Instructor,6,6
Instructor,4,6
Instructor,6,6
Instructor,5,6
Instructor,6,2
Instructor,4,4
Instructor,3,4
Instructor,6,6
Instructor,4,6
Instructor,6,6
Instructor,5,5
Instructor,5,4
Instructor,6,6
Instructor,3,4
Instructor,5,6
Instructor,3,4
Instructor,4,5
Aprendiz,5,6
Instructor,4,5
Aprendiz,5,6
Instructor,2,4
Instructor,3,5
Administrativo,6,6
Aprendiz,6,6
Instructor,5,6
Aprendiz,3,3
Aprendiz,6,6
Aprendiz,1,6
Aprendiz,3,5
Aprendiz,5,6
Instructor,2,3
Instructor,3,3
Aprendiz,1,1
Instructor,3,4
Aprendiz,3,3
Instructor,2,6
Aprendiz,1,4
Instructor,3,3
Instructor,3,4
Instructor,4,5
Aprendiz,5,4
Aprendiz,3,5
Aprendiz,3,5
Aprendiz,3,3
Instructor,2,6
Instructor,5,5
Instructor,5,6
Aprendiz,6,6
Aprendiz,3,4
Aprendiz,3,1
Aprendiz,6,6
Aprendiz,5,5
Aprendiz,2,3
Aprendiz,5,6
Aprendiz,6,6
Aprendiz,6,4
Aprendiz,3,6
Aprendiz,4,3
Aprendiz,3,3
Aprendiz,3,5
Aprendiz,6,6
Aprendiz,3,5
Aprendiz,3,2
Aprendiz,1,6
Aprendiz,4,5
Aprendiz,1,6
Instructor,6,6
Instructor,3,6
Instructor,3,4
Instructor,6,6
Aprendiz,3,5
Aprendiz,6,4
Aprendiz,3,4
Aprendiz,4,4
Aprendiz,3,4
Aprendiz,5,4
Aprendiz,4,4
Aprendiz,2,2
Aprendiz,3,6
Aprendiz,3,5
Aprendiz,2,1
Aprendiz,2,3
Aprendiz,2,3
Instructor,4,6
Aprendiz,6,6
Aprendiz,1,2
Aprendiz,4,3
Aprendiz,2,2
Aprendiz,2,5
Aprendiz,5,3
Aprendiz,3,3
Aprendiz,2,2
Aprendiz,3,4
Aprendiz,5,5
Instructor,5,5
Aprendiz,3,6
Aprendiz,3,3
Aprendiz,3,4
Aprendiz,4,5
Aprendiz,2,4
Aprendiz,3,3
Aprendiz,5,5
Aprendiz,2,3
Aprendiz,4,5
Aprendiz,2,5
Instructor,5,6
Instructor,4,5
Aprendiz,6,6
Aprendiz,2,5
Aprendiz,2,2
Aprendiz,3,3
Aprendiz,1,1
Aprendiz,3,4
Aprendiz,2,6
Aprendiz,5,5
Aprendiz,3,3
Aprendiz,2,2
Aprendiz,4,4
Aprendiz,4,4
Aprendiz,1,6
Aprendiz,6,6
Aprendiz,5,5
Aprendiz,2,4
Aprendiz,1,5
Aprendiz,1,4
Aprendiz,5,6
Aprendiz,3,6
